vocabulary,pos,mean
litter,v.,使髒亂
launch,v.,發射(衛星、飛彈)；(船)下水
strand,n.,線，繩
molecule,n.,分子
grant,v.,(依法)授予，給予
retreat,v.,退卻，撤退
probe,n.,無人探測船；探測，調查
malfunction,v.,故障，機能不全
saw,v.,鋸
injustice,n.,不義之舉，不公正
conflict,n.,衝突，矛盾
endow,v.,賦予(才能)；捐贈
legitimate,adj.,合法的，合理的
consent,n.,同意，贊成
artifact,n.,手工藝品
discard,v.,拋棄，放棄
underlying,adj.,潛在的，隱含的；基本的
symmetry,n.,(左右)對稱，調和
literally,adv.,確實地；照字面地
harsh,adj.,嚴酷的，嚴厲的
phenomenal,adj.,異常的；自然現象的
emerge,v.,出現，露出
larva,n.,幼蟲
axis,n.,軸；軸線
reservoir,n.,水庫，蓄水池
crater,n.,(隕石)坑；火山口
lunar,adj.,月球的，月亮的
thesis,n.,論點
inspire,v.,鼓舞；給予靈感；激發
confirm,v.,證實
cram,v.,塞進，填滿
count,v.,依靠，指望
run,v.,經營，管理
